uc001aqb.5,NM_001350234,PIK3CD,0.7565107
uc001aqi.4,NM_001009566,CLSTN1,29.94245
uc001aqk.2,NM_001012329,CTNNBIP1,1.958854
uc001aqo.4,NM_001316973,LZIC,3.397994
uc001aqp.3,NM_001297778,NMNAT1,1.91883
uc001aqq.4,NM_052960,RBP7,0
uc001aqr.5,NM_001105562,UBE4B,10.93387
uc001aqw.5,NM_001365951,KIF1B,8.826265
uc001arc.4,NM_001304451,PGD,178.4158
uc001are.4,NM_199294,CENPS,0.7540029
uc001arf.4,NM_001243768,CENPS-CORT,2.586704
uc001ari.5,NM_001302,CORT,0
uc001arj.4,NM_004401,DFFA,8.932467
uc001arn.5,NM_004565,PEX14,4.615424
uc001aro.6,NM_001079843,CASZ1,2.151509
uc001art.4,NM_007375,TARDBP,19.25595
uc001aru.4,NM_006610,MASP2,2.796609
uc001arz.2,NM_003132,SRM,33.30628
uc001asb.4,NM_001001998,EXOSC10,11.46741
uc001asd.4,NM_001386500,MTOR,16.54877
uc001ase.5,NM_021146,ANGPTL7,1.073878
uc001asg.4,NM_001330349,UBIAD1,3.07919
uc001ash.5,NM_020780,DISP3,0
uc001asj.4,NM_012168,FBXO2,2.65102
uc001asl.3,NM_001014765,FBXO44,4.313996
uc001aso.4,NM_018438,FBXO6,7.571402
uc001asq.5,NM_001127325,MAD2L2,6.219542
uc001ass.4,NM_198545,DRAXIN,0.04632536
uc001asv.4,NM_001040194,AGTRAP,18.79167
uc001atc.3,NM_001330358,MTHFR,10.9831
uc001ate.6,NM_001256959,CLCN6,4.395315
uc001ati.4,NM_006172,NPPA,0
uc001atj.4,NM_002521,NPPB,0
uc001atk.4,NM_138346,KIAA2013,14.52372
uc001atm.4,NM_000302,PLOD1,38.82984
uc001ato.3,NM_021933,MIIP,19.0409
uc001atq.3,NM_001243,TNFRSF8,0
uc001att.4,NM_001066,TNFRSF1B,8.976151
uc001atz.1,NR_003025,SNORA59A,0
uc001auf.3,NM_001013630,AADACL4,0
uc001auh.4,NM_001330361,CFAP107,0.32233
uc001aui.5,NM_001080830,PRAMEF12,0
uc001aum.1,NM_023014,PRAMEF2,0
uc001aun.3,NM_001009611,PRAMEF4,0
uc001auu.2,NM_001013407,PRAMEF5,0
uc001auw.2,NM_001098376,PRAMEF15,0
uc001avb.4,NM_001010847,LRRC38,0
uc001avd.4,NM_001006624,PDPN,0
uc001avi.3,NM_001007257,PRDM2,6.566132
uc001avm.5,NM_001017999,KAZN,1.369493
uc001awb.2,NM_001391957,FHAD1,0.4648315
uc001awh.2,NM_024329,EFHD2,44.65568
uc001awi.2,NM_007272,CTRC,0
uc001awk.4,NM_033440,CELA2A,0
uc001awl.3,NM_015849,CELA2B,0
uc001awn.5,NM_001229,CASP9,2.001438
uc001aws.4,NM_001287811,DNAJC16,3.223006
uc001awv.3,NM_024758,AGMAT,2.314996
uc001awz.4,NM_032341,DDI2,3.6783
uc001axb.2,NM_207348,SLC25A34,0.10904
uc001axc.5,NM_001013641,TMEM82,0
uc001axd.2,NM_001024215,FBLIM1,11.11928
uc001axk.2,NM_015001,SPEN,7.355409
uc001axl.5,NM_001242884,ZBTB17,3.462468
uc001axn.4,NM_178840,SRARP,0
uc001axo.2,NM_001349682,HSPB7,0.2361968
uc001axu.4,NM_001042704,CLCNKA,0.4040896
uc001axx.6,NM_000085,CLCNKB,0
uc001axz.5,NM_182623,FAM131C,1.586913
uc001aya.2,NM_001329090,EPHA2,18.20009
uc001ayc.1,NM_153213,ARHGEF19,1.643281
uc001ayd.4,NM_030907,CPLANE2,1.734111
uc001ayg.4,NM_018994,FBXO42,2.410823
uc001aym.6,NM_001114600,SZRD1,23.85285
uc001ayn.3,NM_001353349,SPATA21,2.973733
uc001ayo.4,NM_001145277,NECAP2,17.03376
uc001ayw.5,NM_001405666,NBPF1,5.507632
uc001azt.2,NM_014675,CROCC,2.409218
uc001baa.3,NM_001141973,ATP13A2,8.391912
uc001bae.5,NM_001407361,SDHB,29.10031
uc001baf.4,NM_007365,PADI2,0.1564716
uc001bah.2,NM_013358,PADI1,0.266136
uc001bai.4,NM_016233,PADI3,0
uc001baj.3,NM_012387,PADI4,0
uc001bam.4,NM_001136204,RCC2,23.64658
uc001ban.4,NM_001011722,ARHGEF10L,19.44585
uc001bat.3,NM_030812,ACTL8,0
uc001bau.3,NM_032880,IGSF21,0
uc001bax.4,NM_152375,KLHDC7A,0.4722769
uc001bba.2,NM_152232,TAS1R2,0
uc001bbc.4,NM_001161504,ALDH4A1,5.326537
uc001bbd.3,NM_001136265,IFFO2,1.822163
uc001bbi.4,NM_020765,UBR4,38.82095
uc001bbo.5,NM_001271427,EMC1,14.5828
uc001bbs.4,NM_016183,MRTO4,10.65687
uc001bbv.2,NM_012067,AKR7A3,3.650553
uc001bbw.4,NM_001320979,AKR7A2,13.57145
uc001bby.4,NM_001040125,SLC66A1,17.02817
uc001bce.5,NM_001206540,CAPZB,52.03825
uc001bci.3,NM_001032363,MICOS10,4.359912
uc001bcl.5,NM_000871,HTR6,0
uc001bcn.3,NM_001349112,TMCO4,4.951906
uc001bcr.3,NM_019062,RNF186,0.2718616
uc001bcs.5,NM_015207,OTUD3,3.142643
uc001bct.2,NM_014589,PLA2G2E,0
uc001bcv.4,NM_000300,PLA2G2A,0
uc001bcy.4,NM_000929,PLA2G5,0
uc001bcz.5,NM_001271814,PLA2G2D,0
uc001bdb.4,NM_152376,UBXN10,0.1226848
uc001bdh.4,NM_018584,CAMK2N1,17.89541
uc001bdi.5,NM_024544,MUL1,12.64694
uc001bdj.4,NM_207334,FAM43B,0
uc001bdk.4,NM_001785,CDA,5.482598
uc001bdm.3,NM_032409,PINK1,6.934159
uc001bdo.1,NM_005216,DDOST,56.81089
uc001bdr.6,NM_001122819,KIF17,0.08325679
uc001bdw.2,NM_001372052,HP1BP3,23.84214
uc001bek.3,NM_001113347,ECE1,23.76925
uc001ber.5,NM_001256416,NBPF3,1.789126
uc001bet.4,NM_000478,ALPL,0.4036116
uc001bex.4,NM_001145657,RAP1GAP,31.93732
uc001bfb.4,NM_001032730,USP48,6.253924
uc001bfg.1,NM_001013693,LDLRAD2,2.124977
uc001bfj.4,NM_001291860,HSPG2,23.17241
uc001bfk.4,NM_007352,CELA3B,0
uc001bfl.4,NM_005747,CELA3A,0
uc001bfs.5,NM_030761,WNT4,0.77386
uc001bft.2,NM_001083621,ZBTB40,4.525774
uc001bfx.2,NM_001006943,EPHA8,0
uc001bfy.4,NM_001347465,C1QA,0
uc001bgc.5,NM_001114101,C1QC,0
uc001bgd.3,NM_000491,C1QB,0
uc001bge.4,NM_001309192,EPHB2,0.345521
uc001bgi.3,NM_001009999,KDM1A,13.72652
uc001bgm.2,NM_001142546,LUZP1,7.638199
uc001bgn.3,NM_000864,HTR1D,4.452872
uc001bgu.4,NM_001077195,ZNF436,2.903713
uc001bha.3,NM_001143778,ASAP3,8.674942
uc001bhe.3,NM_004091,E2F2,2.62653
uc001bhh.5,NM_002167,ID3,98.04617
uc001bhk.5,NM_000975,RPL11,78.83852
uc001bhq.4,NM_020362,PITHD1,10.51455
uc001bht.4,NM_007260,LYPLA2,27.54532
uc001bhx.1,NM_000403,GALE,34.60695
uc001bib.4,NM_000191,HMGCL,26.9472
uc001bie.5,NM_000147,FUCA1,9.987513
uc001bif.4,NM_001841,CNR2,0.1944451
uc001big.4,NM_017761,PNRC2,9.963722
uc001bin.5,NM_152372,MYOM3,5.331036
uc001biq.3,NM_021258,IL22RA1,5.08691
uc001bis.4,NM_170743,IFNLR1,2.617404
uc001bix.3,NM_001195010,GRHL3,0
uc001bja.4,NM_001199012,STPG1,1.839279
uc001bjh.4,NM_001322854,NIPAL3,5.723591
uc001bjj.4,NM_001251977,RCAN3,7.43102
uc001bjk.3,NM_001010980,NCMAP,0.1714935
uc001bjm.4,NM_001303448,SRRM1,12.6624
uc001bjo.3,NM_013943,CLIC4,28.01083
uc001bjq.4,NM_001031680,RUNX3,0.1598062
uc001bjt.2,NM_015484,SYF2,1.033272
uc001bjz.5,NM_001127691,RHD,0.7629958
uc001bke.4,NM_014313,TMEM50A,13.70166
uc001bkf.4,NM_001330430,RHCE,0
uc001bkk.5,NM_001282564,MACO1,2.079348
uc001bkl.5,NM_015627,LDLRAP1,6.626105
uc001bkm.3,NM_001289010,MAN1C1,1.176251
uc001bkq.5,NM_001099625,MTFR1L,8.598609
uc001bkw.3,NM_001287490,AUNIP,1.893726
uc001bkx.4,NM_178422,PAQR7,1.918679
uc001blc.4,NM_001145454,STMN1,14.53127
uc001bld.4,NM_000437,PAFAH2,1.271988
uc001blf.4,NM_004455,EXTL1,0
uc001blg.2,NM_001004434,SLC30A2,0
uc001bli.3,NM_032588,TRIM63,0
uc001blk.4,NM_024869,FAM110D,0
uc001bll.5,NM_015871,ZNF593,18.71712
uc001blm.5,NM_001297647,CNKSR1,0.4042492
uc001bls.3,NM_001281517,CEP85,9.329982
uc001blu.4,NM_031286,SH3BGRL3,71.32656
uc001bmc.4,NM_001803,CD52,0
uc001bmd.4,NM_001039775,CRYBG2,0.2601993
uc001bmh.2,NM_001114759,ZNF683,0
uc001bmj.4,NM_024674,LIN28A,0.08583304
uc001bmk.4,NM_001243564,DHDDS,18.29303
uc001bmr.2,NM_001006665,RPS6KA1,9.976849
uc001bmv.2,NM_006015,ARID1A,14.71076
uc001bmz.4,NM_001202554,PIGV,2.838488
uc001bnb.4,NM_032283,ZDHHC18,13.05232
uc001bnc.2,NM_006142,SFN,43.56125
uc001bnd.2,NM_018066,GPN2,5.558448
uc001bne.4,NM_022078,GPATCH3,4.174515
uc001bnf.4,NM_021969,NR0B2,0
uc001bng.3,NM_006600,NUDC,10.09089
uc001bnj.5,NM_001013642,TRNP1,74.98792
uc001bnm.5,NM_003047,SLC9A1,9.244946
uc001bno.5,NM_001276252,WDTC1,11.60004
uc001bnr.5,NM_032125,TMEM222,12.16454
uc001bnv.3,NM_001193308,SYTL1,0.7071218
uc001boa.4,NM_003665,FCN3,0
uc001bod.5,NM_005281,GPR3,1.11812
uc001bom.4,NM_001042729,FGR,0
uc001bon.2,NM_002038,IFI6,2.941261
uc001boq.4,NM_001143912,FAM76A,1.42288
uc001bou.4,NM_177424,STX12,8.546526
uc001bov.3,NM_002713,PPP1R8,9.238591
uc001boy.1,NR_002997,SCARNA1,0
uc001bpc.6,NM_001039477,THEMIS2,0.2751502
uc001bpe.3,NM_001286076,RPA2,6.453933
uc001bpg.4,NM_001009568,SMPDL3B,0.1717093
uc001bph.2,NM_018053,XKR8,1.901112
uc001bpi.3,NM_001282560,EYA3,4.131418
uc001bpn.4,NM_014280,DNAJC8,20.33176
uc001bpq.4,NM_016311,ATP5IF1,12.88775
uc001bps.4,NM_031459,SESN2,8.574006
uc001bpt.5,NM_001127350,MED18,1.305798
uc001bpy.5,NM_001048183,PHACTR4,3.525335
uc001bqc.2,NM_001048194,RCC1,17.6453
uc001bqi.4,NM_017846,TRNAU1AP,3.982719
uc001bqq.2,NR_003077,SNORD99,0
uc001bqr.2,NR_002987,SNORA61,0
uc001bqu.4,NM_001193532,RAB42,2.62451
uc001bqy.5,NM_001135218,TAF12,8.000231
uc001bra.4,NM_001319674,GMEB1,3.205433
uc001brf.2,NM_000911,OPRD1,0.146479
uc001brm.2,NM_001166005,EPB41,25.36857
uc001brn.3,NM_001003682,TMEM200B,2.929781
uc001bro.4,NM_005626,SRSF4,8.162352
uc001brq.3,NM_001024732,MECR,4.162395
uc001bru.4,NM_001195001,PTPRU,1.522066
uc001brz.4,NM_002379,MATN1,0.08908258
uc001bsc.3,NM_006762,LAPTM5,0
uc001bse.3,NM_014654,SDC3,7.024041
uc001bsi.2,NM_001020658,PUM1,28.03576
uc001bso.4,NM_004814,SNRNP40,13.5207
uc001bsp.3,NM_001282566,ZCCHC17,9.706874
uc001bss.2,NM_001320996,FABP3,4.043229
